Day,HomeTeam,AwayTeam,Weight
43,26,21,0.22972079999999998
43,17,24,0.374226
44,5,1,0.3109605
44,6,3,0.39993
44,2,4,0.41026199999999996
44,7,9,0.30715800000000004
44,22,10,0.5491245
44,30,11,0.19089
44,13,12,0.36602999999999997
44,29,20,0.3963825
44,16,27,0.3085575
44,23,28,0.2727405
45,19,8,0.24384779999999998
45,24,17,0.43659699999999996
45,18,21,0.3464678
45,14,26,0.688107
46,20,1,0.7181542999999999
46,15,2,0.7146421999999999
46,28,5,0.4449879
46,25,7,0.4434100999999999
46,9,13,0.46031279999999997
46,29,16,0.2507667
46,11,19,0.2975464
46,3,22,0.3900248
46,4,23,0.34406159999999997
46,6,30,0.372807
47,12,2,0.8713172
47,11,7,0.6883526000000001
47,10,13,1.3201110000000003
47,3,16,0.6233942
47,8,17,0.7078682000000001
47,26,20,0.8365864000000001
47,6,21,0.645788
47,5,23,0.7424794000000001
47,14,24,1.5548754000000002
47,18,27,0.6023056
48,9,1,0.204838
48,4,8,0.33988939999999995
48,30,10,0.8622263
48,28,14,1.0767404
48,24,15,0.5165409
48,29,17,0.3399929
48,22,18,0.35049699999999995
48,26,19,0.24668189999999998
48,12,21,0.45414879999999996
48,27,25,0.28925949999999995
49,28,9,0.075226
49,4,22,0.040754
49,15,25,0.068212
49,29,30,0.047636
50,20,3,0.4739904
50,1,8,0.23261759999999998
50,21,19,0.194688
50,17,23,0.32888399999999995
51,18,1,0.274449
51,24,4,0.28106549999999997
51,16,5,0.370383
51,6,12,0.2991195
51,11,13,0.3901725
51,22,14,0.677109
51,2,25,0.41887949999999996
51,9,27,0.206625
51,7,28,0.3289155
51,10,29,0.5230095
52,17,3,0.38998399999999994
52,15,8,0.2589776
52,20,23,0.5467027999999999
52,21,26,0.26800759999999996
53,9,5,0.41162639999999995
53,4,6,0.3169377
53,30,10,0.8622263
53,14,12,1.1443120999999998
53,1,15,0.24963279999999996
53,28,16,0.3293163
53,24,19,0.4916847999999999
53,11,22,0.27246489999999995
53,27,25,0.28925949999999995
53,7,29,0.4257898
54,8,3,0.71916
54,26,6,0.5028192
54,14,7,1.5540044
54,13,11,0.676299
54,5,12,0.5794152
54,17,16,0.6121024
54,2,20,1.3374868000000002
54,24,21,0.7746908
54,18,23,0.6791928
54,10,27,1.1579074
55,26,1,0.2919229
55,19,2,0.6897860999999998
55,29,3,0.34998179999999995
55,17,4,0.3443997
55,28,8,0.41403219999999996
55,21,9,0.35321559999999996
55,25,13,0.4327473
55,15,18,0.4004369
55,20,22,0.6478295
55,23,30,0.3999309
56,28,9,0.075226
56,29,19,0.049743
56,4,22,0.040754
56,30,25,0.055297
58,18,5,0.4093095
58,30,7,0.3169995
58,6,9,0.2332935
